name, value
snp182,64
snp183,33
snp184,1
snp185,0
snp186,20
snp187,10
snp188,0
snp189,2
snp190,41
snp191,101
snp192,4
snp193,65
snp194,2
snp195,2
snp196,2
snp197,1
snp198,1
snp199,5
snp200,1
snp201,57
snp202,1
snp203,0
snp204,79
snp205,42
snp206,1
snp207,37
snp208,35
snp209,0
snp210,9
snp211,0
snp212,70
snp213,11
snp214,58
snp215,1
snp216,0
snp217,91
snp218,82
snp219,73
snp220,0
snp221,5
snp222,22
snp223,103
snp224,10
snp225,33
snp226,107
snp227,110
snp228,109
snp229,0
snp230,3
snp231,7
snp232,1
snp233,87
snp234,2
snp235,5
snp236,0
snp237,0
snp238,7
snp239,13
snp240,1
snp241,2
snp242,0
snp243,0
snp244,21
snp245,24
snp246,105
snp247,6
snp248,14
snp249,1
snp250,2
snp251,26
snp252,13
snp253,20
snp254,8
snp255,1
snp256,3
snp257,0
snp258,6
snp259,1
snp260,15
snp261,15
snp262,1
snp263,1
snp264,0
snp265,0
snp266,0
snp267,1
snp268,1
snp269,41
snp270,3
snp271,49
snp272,13
snp273,1
snp274,14
snp275,1
snp276,15
snp277,41
snp278,9
snp279,15
snp280,11
snp281,8
snp282,51
snp283,62
snp284,65
snp285,14
snp286,1
snp287,31
snp288,1
snp289,36
snp290,10
snp291,12
snp292,3
snp293,48
snp294,38
snp295,1
snp296,70
snp297,2
snp298,3
snp299,47
snp300,1
snp301,52
snp302,48
snp303,0
snp304,56
snp305,1
snp306,0
snp307,2
snp308,1
snp309,40
snp310,7
snp311,2
snp312,2
snp313,6
snp314,1
snp315,1
snp316,20
snp317,17
snp318,3
snp319,34
snp320,3
snp321,21
snp322,3
snp323,0
snp324,0
snp325,2
snp326,3
snp327,0
snp328,22
snp329,2
snp330,59
snp331,2
snp332,1
snp333,0
snp334,0
snp335,3
snp336,42
snp337,21
snp338,0
snp339,8
snp340,33
snp341,6
snp342,1
snp343,35
snp344,1
snp345,0
snp346,22
snp347,1
snp348,27
snp349,1
snp350,30
snp351,0
snp352,15
snp353,3
snp354,8
snp355,2
snp356,29
snp357,0
snp358,3
snp359,4
snp360,10
snp361,8
snp362,11
snp363,3
snp364,1
snp365,1
snp366,3
snp367,1
snp368,1
snp369,2
snp370,2
snp371,1
snp372,2
snp373,1
snp374,35
snp375,40
snp376,50
snp377,1
snp378,36
snp379,1
snp380,0
snp381,12
snp382,1
snp383,1
snp384,10
snp385,23
snp386,55
snp387,53
snp388,1
snp389,33
snp390,32
snp391,1
snp392,42
snp393,1
snp394,49
snp395,48
snp396,1
snp397,30
snp398,36
snp399,42
snp400,6
snp401,35
snp402,2
snp403,48
snp404,25
snp405,1
snp406,32
snp407,10
snp408,1
snp409,1
snp410,1
snp411,20
snp412,1
snp413,1
snp414,1
snp415,22
snp416,6
snp417,5
snp418,8
snp419,4
snp420,4
snp421,1
snp422,1
snp423,1
snp424,2
snp425,4
snp426,9
snp427,1
snp428,1
snp429,1
snp430,3
snp431,27
snp432,7
snp433,14
snp434,8
snp435,1
snp436,6
snp437,14
snp438,7
snp439,0
snp440,2
snp441,22
snp442,1
snp443,16
snp444,0
snp445,49
snp446,3
snp447,1
snp448,7
snp449,7
snp450,0
snp451,0
snp452,1
snp453,0
snp454,53
snp455,8
snp456,1
snp457,1
snp458,1
snp459,8
snp460,1
snp461,8
snp462,2
snp463,6
snp464,19
snp465,6
snp466,1
snp467,18
snp468,1
snp469,2
snp470,0
snp471,0
snp472,7
snp473,1
snp474,1
snp475,5
snp476,27
snp477,1
snp478,1
snp479,2
snp480,3
snp481,9
snp482,16
snp483,35
snp484,10
snp485,1
snp486,11
snp487,9
snp488,0
snp489,1
snp490,5
snp491,8
snp492,1
snp493,9
snp494,1
snp495,1
snp496,4
snp497,44
snp498,2
snp499,0
snp500,1
snp501,28
snp502,4
snp503,7
snp504,1
snp505,1
snp506,0
snp507,2
snp508,1
snp509,1
snp510,1
snp511,1
snp512,1
snp513,1
snp514,0
snp515,0
snp516,0
snp517,1
snp518,0
snp519,1
snp520,1
snp521,2
snp522,1
snp523,0
snp524,1
snp525,1
snp526,1
snp527,1
snp528,0
snp529,1
snp530,0
snp531,1
snp532,0
snp533,0
snp534,1
snp535,2
snp536,0
snp537,4
snp538,1
snp539,1
snp540,8
snp541,1
snp542,19
snp543,37
snp544,1
snp545,1
snp546,2
snp547,1
snp548,1
snp549,2
snp550,3
snp551,26
snp552,1
snp553,0
snp554,67
snp555,1
snp556,24
snp557,1
snp558,20
snp559,80
snp560,55
snp561,52
snp562,8
snp563,19
snp564,1
snp565,3
snp566,9
snp567,14
snp568,0
snp569,11
snp570,78
snp571,8
snp572,4
snp573,1
snp574,20
snp575,0
snp576,1
snp577,4
snp578,25
snp579,1
snp580,5
snp581,0
snp582,1
snp583,13
snp584,1
snp585,1
snp586,1
snp587,0
snp588,1
snp589,3
snp590,1
snp591,1
snp592,1
snp593,1
snp594,2
snp595,9
snp596,18
snp597,1
snp598,4
snp599,1
snp600,10
snp601,1
snp602,4
snp603,1
snp604,1
snp605,1
snp606,16
snp607,3
snp608,1
snp609,13
snp610,1
snp611,12
snp612,1
snp613,2
snp614,1
snp615,5
snp616,8
snp617,46
snp618,9
snp619,6
snp620,18
snp621,1
snp622,0
snp623,13
snp624,5
snp625,22
snp626,13
snp627,2
snp628,2
snp629,1
snp630,7
snp631,2
snp632,15
snp633,6
snp634,1
snp635,5
snp636,25
snp637,22
snp638,1
snp639,2
snp640,1
snp641,1
snp642,1
snp643,3
snp644,5
snp645,5
snp646,1
snp647,1
snp648,19
snp649,2
snp650,1
snp651,6
snp652,1
snp653,19
snp654,4
snp655,49
snp656,13
snp657,41
snp658,82
snp659,86
snp660,0
snp661,1
snp662,0
snp663,50
snp664,1
snp665,1
snp666,1
snp667,1
snp668,11
snp669,1
snp670,3
snp671,2
snp672,1
snp673,1
snp674,1
snp675,1
snp676,3
snp677,6
snp678,1
snp679,1
snp680,4
snp681,1
snp682,5
snp683,2
snp684,2
snp685,2
snp686,7
snp687,16
snp688,1
snp689,1
snp690,4
snp691,3
snp692,1
snp693,3
snp694,1
snp695,34
snp696,24
snp697,2
snp698,1
snp699,1
snp700,3
snp701,6
snp702,1
snp703,1
snp704,8
snp705,3
snp706,4
snp707,1
snp708,7
snp709,1
snp710,1
snp711,4
snp712,1
snp713,1
snp714,1
snp715,1
snp716,1
snp717,3
snp718,0
snp719,1
snp720,2
snp721,3
snp722,3
snp723,1
snp724,1
snp725,5
snp726,5
snp727,16
snp728,6
snp729,2
snp730,4
snp731,5
snp732,1
snp733,1
snp734,20
snp735,1
snp736,27
snp737,11
snp738,1
snp739,0
snp740,1
snp741,1
snp742,1
snp743,5
snp744,1
snp745,5
snp746,21
snp747,1
snp748,1
snp749,1
snp750,2
snp751,1
snp752,2
snp753,1
snp754,1
snp755,4
snp756,4
snp757,1
snp758,2
snp759,1
snp760,1
snp761,5
snp762,1
snp763,1
snp764,1
snp765,1
snp766,9
snp767,6
snp768,5
snp769,1
snp770,3
snp771,3
snp772,1
snp773,3
snp774,3
snp775,7
snp776,10
snp777,2
snp778,1
snp779,2
snp780,6
snp781,2
snp782,2
snp783,1
snp784,4
snp785,1
snp786,1
snp787,1
snp788,2
snp789,1
snp790,2
snp791,2
snp792,2
snp793,1
snp794,9
snp795,1
snp796,1
snp797,6
snp798,6
snp799,2
snp800,2
snp801,1
snp802,1
snp803,2
snp804,1
snp805,1
snp806,27
snp807,3
snp808,15
snp809,8
snp810,9
snp811,10
snp812,1
snp813,1
snp814,6
snp815,1
snp816,0
snp817,2
snp818,1
snp819,1
snp820,1
snp821,1
snp822,7
snp823,1
snp824,2
snp825,2
snp826,3
snp827,1
snp828,2
snp829,1
snp830,1
snp831,3
snp832,2
snp833,0
snp834,10
snp835,3
snp836,7
snp837,9
snp838,16
snp839,26
snp840,1
snp841,10
snp842,1
snp843,1
snp844,8
snp845,1
snp846,31
snp847,1
snp848,2
snp849,6
snp850,0
snp851,0
snp852,1
snp853,1
snp854,1
snp855,4
snp856,1
snp857,1
snp858,0
snp859,1
snp860,1
snp861,1
snp862,0
snp863,1
snp864,2
snp865,1
snp866,1
snp867,1
snp868,1
snp869,1
snp870,1
snp871,3
snp872,54
snp873,1
snp874,1
snp875,46
snp876,0
snp877,3
snp878,7
snp879,1
snp880,6
snp881,5
snp882,3
snp883,4
snp884,1
snp885,1
snp886,1
snp887,2
snp888,0
snp889,2
snp890,2
snp891,55
snp892,33
snp893,1
snp894,1
snp895,56
snp896,1
snp897,1
snp898,2
snp899,1
snp900,8
snp901,23
snp902,1
snp903,59
snp904,1
snp905,2
snp906,1
snp907,1
snp908,112
snp909,114
snp910,0
snp911,1
snp912,12
snp913,11
snp914,0
snp915,1
snp916,112
snp917,112
snp918,21
snp919,1
snp920,113
snp921,3
snp922,3
snp923,1
snp924,1
snp925,3
snp926,105
snp927,1
snp928,2
snp929,2
snp930,1
snp931,0
snp932,1
snp933,1
snp934,111
snp935,1
snp936,1
snp937,103
snp938,99
snp939,3
snp940,79
snp941,109
snp942,1
snp943,0
snp944,114
snp945,5
snp946,114
snp947,1
snp948,1
snp949,1
snp950,106
snp951,3
snp952,1
snp953,0
snp954,1
snp955,1
snp956,1
snp957,112
snp958,103
snp959,1
snp960,102
snp961,2
snp962,1
snp963,107
snp964,1
snp965,107
snp966,107
snp967,0
snp968,99
snp969,113
snp970,1
snp971,1
snp972,1
snp973,113
snp974,112
snp975,0
snp976,1
snp977,3
snp978,109
snp979,0
snp980,2
snp981,110
snp982,1
snp983,111
snp984,1
snp985,113
snp986,0
snp987,113
snp988,1
snp989,1
snp990,1
snp991,0
snp992,113
snp993,0
snp994,111
snp995,1
snp996,114
snp997,1
snp998,112
snp999,1
snp1000,0
snp1001,3
snp1002,104
snp1003,1
snp1004,0
snp1005,0
snp1006,96
snp1007,112
snp1008,1
snp1009,114
snp1010,1
snp1011,114
snp1012,1
snp1013,1
snp1014,0
snp1015,0
snp1016,114
snp1017,114
snp1018,1
snp1019,0
snp1020,1
snp1021,1
snp1022,0
snp1023,110
snp1024,1
snp1025,113
snp1026,114
snp1027,114
snp1028,0
snp1029,1
snp1030,1
snp1031,1
snp1032,113
snp1033,0
snp1034,1
snp1035,1
snp1036,113
snp1037,0
snp1038,1
snp1039,1
snp1040,111
snp1041,112
snp1042,1
snp1043,1
snp1044,1
snp1045,1
snp1046,112
snp1047,111
snp1048,114
snp1049,1
snp1050,112
snp1051,2
snp1052,112
snp1053,114
snp1054,112
snp1055,1
snp1056,114
snp1057,112
snp1058,2
snp1059,2
snp1060,0
snp1061,111
snp1062,1
snp1063,1
snp1064,96
snp1065,103
snp1066,106
snp1067,1
snp1068,0
snp1069,113
snp1070,1
snp1071,0
snp1072,0
snp1073,1
snp1074,108
snp1075,96
snp1076,99
snp1077,3
snp1078,100
snp1079,0
snp1080,1
snp1081,1
snp1082,1
snp1083,1
snp1084,0
snp1085,114
snp1086,1
snp1087,1
snp1088,1
snp1089,1
snp1090,0
snp1091,3
snp1092,3
snp1093,103
snp1094,1
snp1095,102
snp1096,1
snp1097,3
snp1098,113
snp1099,106
snp1100,0
snp1101,1
snp1102,0
snp1103,1
snp1104,1
snp1105,113
snp1106,111
snp1107,1
snp1108,0
snp1109,1
snp1110,1
snp1111,1
snp1112,1
snp1113,0
snp1114,113
snp1115,104
snp1116,112
snp1117,109
snp1118,107
snp1119,111
snp1120,1
snp1121,1
snp1122,113
snp1123,1
snp1124,1
snp1125,1
snp1126,1
snp1127,20
snp1128,23
snp1129,1
snp1130,1
snp1131,15
snp1132,1
snp1133,7
snp1134,0
snp1135,0
snp1136,1
snp1137,6
snp1138,1
snp1139,4
snp1140,3
snp1141,3
snp1142,5
snp1143,19
snp1144,1
snp1145,1
snp1146,1
snp1147,3
snp1148,62
snp1149,2
snp1150,3
snp1151,1
snp1152,18
snp1153,1
snp1154,10
snp1155,2
snp1156,11
snp1157,1
snp1158,1
snp1159,1
snp1160,1
snp1161,3
snp1162,3
snp1163,1
snp1164,2
snp1165,15
snp1166,50
snp1167,2
snp1168,1
snp1169,0
snp1170,27
snp1171,8
snp1172,1
snp1173,1
snp1174,1
snp1175,6
snp1176,40
snp1177,54
snp1178,3
snp1179,7
snp1180,8
snp1181,16
snp1182,0
snp1183,6
snp1184,31
snp1185,1
snp1186,2
snp1187,6
snp1188,7
snp1189,5
snp1190,1
snp1191,1
snp1192,5
snp1193,1
snp1194,2
snp1195,9
snp1196,41
snp1197,2
snp1198,38
snp1199,3
snp1200,26
snp1201,1
snp1202,1
snp1203,30
snp1204,4
snp1205,2
snp1206,0
snp1207,1
snp1208,0
snp1209,0
snp1210,1
snp1211,3
snp1212,0
snp1213,1
snp1214,1
snp1215,1
snp1216,4
snp1217,1
snp1218,1
snp1219,0
snp1220,2
snp1221,0
snp1222,6
snp1223,3
snp1224,0
snp1225,0
snp1226,1
snp1227,0
snp1228,4
snp1229,1
snp1230,1
snp1231,1
snp1232,1
snp1233,1
snp1234,0
snp1235,0
snp1236,1
snp1237,3
snp1238,1
snp1239,3
snp1240,4
snp1241,1
snp1242,0
snp1243,21
snp1244,11
snp1245,4
snp1246,2
snp1247,1
snp1248,41
snp1249,108
snp1250,1
snp1251,66
snp1252,11
snp1253,16
snp1254,6
snp1255,2
snp1256,73
snp1257,1
snp1258,3
snp1259,10
snp1260,1
snp1261,4
snp1262,3
snp1263,3
snp1264,1
snp1265,1
snp1266,1
snp1267,0
snp1268,1
snp1269,15
snp1270,5
snp1271,1
snp1272,1
snp1273,5
snp1274,0
snp1275,1
snp1276,2
snp1277,0
snp1278,3
snp1279,2
snp1280,0
snp1281,2
snp1282,18
snp1283,7
snp1284,1
snp1285,1
snp1286,3
snp1287,1
snp1288,1
snp1289,0
snp1290,10
snp1291,1
snp1292,2
snp1293,4
snp1294,12
snp1295,3
snp1296,1
snp1297,0
snp1298,0
snp1299,1
snp1300,26
snp1301,7
snp1302,46
snp1303,14
snp1304,5
snp1305,3
snp1306,1
snp1307,0
snp1308,22
snp1309,4
snp1310,6
snp1311,0
snp1312,0
snp1313,9
snp1314,5
snp1315,3
snp1316,94
snp1317,1
snp1318,37
snp1319,1
snp1320,1
snp1321,0
snp1322,0
snp1323,20
snp1324,3
snp1325,5
snp1326,1
snp1327,1
snp1328,3
snp1329,2
snp1330,0
snp1331,1
snp1332,0
snp1333,2
snp1334,0
snp1335,6
snp1336,0
snp1337,1
snp1338,0
snp1339,0
snp1340,2
snp1341,0
snp1342,3
snp1343,0
snp1344,1
snp1345,8
snp1346,1
snp1347,1
snp1348,1
snp1349,77
snp1350,2
snp1351,1
snp1352,3
snp1353,2
snp1354,0
snp1355,3
snp1356,1
snp1357,0
snp1358,2
snp1359,8
snp1360,96
snp1361,2
snp1362,1
snp1363,2
snp1364,2
snp1365,4
snp1366,3
snp1367,2
snp1368,2
snp1369,1
snp1370,1
snp1371,1
snp1372,2
snp1373,2
snp1374,1
snp1375,1
snp1376,2
snp1377,0
snp1378,1
snp1379,7
snp1380,7
snp1381,71
snp1382,62
snp1383,1
snp1384,6
snp1385,6
snp1386,0
snp1387,1
snp1388,3
snp1389,1
snp1390,1
snp1391,1
snp1392,1
snp1393,1
snp1394,1
snp1395,0
snp1396,1
snp1397,0
snp1398,0
snp1399,1
snp1400,1
snp1401,1
snp1402,1
snp1403,0
snp1404,1
snp1405,1
snp1406,10
snp1407,1
snp1408,1
snp1409,1
snp1410,1
snp1411,93
snp1412,7
snp1413,14
snp1414,107
snp1415,1
snp1416,4
snp1417,1
snp1418,0
snp1419,1
snp1420,1
snp1421,4
snp1422,1
snp1423,1
snp1424,1
snp1425,3
snp1426,1
snp1427,2
snp1428,1
snp1429,2
snp1430,0
snp1431,1
snp1432,1
snp1433,5
snp1434,68
snp1435,1
snp1436,0
snp1437,1
snp1438,2
snp1439,1
snp1440,2
snp1441,1
snp1442,1
snp1443,0
snp1444,0
snp1445,2
snp1446,3
snp1447,26
snp1448,3
snp1449,1
snp1450,6
snp1451,1
snp1452,1
snp1453,1
snp1454,1
snp1455,1
snp1456,1
snp1457,1
snp1458,1
snp1459,1
snp1460,1
snp1461,1
snp1462,1
snp1463,1
snp1464,1
snp1465,1
snp1466,2
snp1467,0
snp1468,1
snp1469,1
snp1470,1
snp1471,1
snp1472,0
snp1473,0
snp1474,0
snp1475,0
snp1476,1
snp1477,1
snp1478,1
snp1479,11
snp1480,0
snp1481,1
snp1482,1
snp1483,1
snp1484,1
snp1485,1
snp1486,1
snp1487,3
snp1488,1
snp1489,2
snp1490,1
snp1491,2
snp1492,1
snp1493,3
snp1494,17
snp1495,1
snp1496,1
snp1497,3
snp1498,8
snp1499,1
snp1500,4
snp1501,2
snp1502,1
snp1503,8
snp1504,8
snp1505,0
snp1506,0
snp1507,1
snp1508,1
snp1509,0
snp1510,2
snp1511,1
snp1512,1
snp1513,1
snp1514,0
snp1515,1
snp1516,1
snp1517,1
snp1518,3
snp1519,1
snp1520,1
snp1521,0
snp1522,1
snp1523,2
snp1524,1
snp1525,3
snp1526,1
snp1527,24
snp1528,1
snp1529,41
snp1530,54
snp1531,0
snp1532,1
snp1533,0
snp1534,0
snp1535,1
snp1536,1
snp1537,1
snp1538,1
snp1539,2
snp1540,0
snp1541,1
snp1542,2
snp1543,2
snp1544,1
snp1545,6
snp1546,0
snp1547,89
snp1548,5
snp1549,2
snp1550,2
snp1551,2
snp1552,2
snp1553,1
snp1554,5
snp1555,1
snp1556,3
snp1557,28
snp1558,19
snp1559,1
snp1560,1
snp1561,0
snp1562,2
snp1563,1
snp1564,2
snp1565,1
snp1566,1
snp1567,1
snp1568,0
snp1569,2
snp1570,1
snp1571,18
snp1572,1
snp1573,0
snp1574,0
snp1575,6
snp1576,8
snp1577,5
snp1578,2
snp1579,4
snp1580,2
snp1581,1
snp1582,1
snp1583,1
snp1584,4
snp1585,2
snp1586,1
snp1587,1
snp1588,2
snp1589,2
snp1590,2
snp1591,2
snp1592,3
snp1593,1
snp1594,1
snp1595,1
snp1596,4
snp1597,4
snp1598,24
snp1599,81
snp1600,0
snp1601,4
snp1602,3
snp1603,0
snp1604,7
snp1605,4
snp1606,1
snp1607,2
snp1608,61
snp1609,1
snp1610,1
snp1611,1
snp1612,1
snp1613,0
snp1614,1
snp1615,2
snp1616,1
snp1617,59
snp1618,1
snp1619,1
snp1620,2
snp1621,1
snp1622,0
snp1623,1
snp1624,1
snp1625,4
snp1626,1
snp1627,0
snp1628,2
snp1629,10
snp1630,2
snp1631,8
snp1632,1
snp1633,1
snp1634,13
snp1635,1
snp1636,2
snp1637,3
snp1638,0
snp1639,12
snp1640,83
snp1641,1
snp1642,1
snp1643,2
snp1644,5
snp1645,1
snp1646,1
snp1647,1
snp1648,1
snp1649,2
snp1650,0
snp1651,1
snp1652,1
snp1653,1
snp1654,2
snp1655,1
snp1656,2
snp1657,8
snp1658,5
snp1659,1
snp1660,19
snp1661,11
snp1662,1
snp1663,1
snp1664,109
snp1665,30
snp1666,1
snp1667,4
snp1668,2
snp1669,1
snp1670,1
snp1671,1
snp1672,3
snp1673,3
snp1674,1
snp1675,8
snp1676,3
snp1677,26
snp1678,2
snp1679,0
snp1680,1
snp1681,6
snp1682,8
snp1683,1
snp1684,19
snp1685,101
snp1686,26
snp1687,1
snp1688,1
snp1689,6
snp1690,5
snp1691,2
snp1692,22
snp1693,2
snp1694,1
snp1695,1
snp1696,34
snp1697,10
snp1698,5
snp1699,7
snp1700,25
snp1701,2
snp1702,45
snp1703,5
snp1704,23
snp1705,1
snp1706,1
snp1707,1
snp1708,0
snp1709,1
snp1710,3
snp1711,1
snp1712,1
snp1713,1
snp1714,0
snp1715,4
snp1716,2
snp1717,8
snp1718,0
snp1719,4
snp1720,1
snp1721,1
snp1722,3
snp1723,1
snp1724,3
snp1725,1
snp1726,1
snp1727,1
snp1728,1
snp1729,1
snp1730,0
snp1731,3
snp1732,9
snp1733,15
snp1734,14
snp1735,13
snp1736,22
snp1737,1
snp1738,21
snp1739,10
snp1740,2
snp1741,40
snp1742,1
snp1743,2
snp1744,4
snp1745,1
snp1746,100
snp1747,1
snp1748,1
snp1749,1
snp1750,4
snp1751,6
snp1752,10
snp1753,6
snp1754,2
snp1755,4
snp1756,1
snp1757,3
snp1758,2
snp1759,23
snp1760,1
snp1761,3
snp1762,0
snp1763,8
snp1764,110
snp1765,2
snp1766,1
snp1767,112
snp1768,2
snp1769,89
snp1770,108
snp1771,0
snp1772,2
snp1773,84
snp1774,48
snp1775,12
snp1776,16
snp1777,1
snp1778,4
snp1779,0
snp1780,64
snp1781,2
snp1782,5
snp1783,5
snp1784,1
snp1785,3
snp1786,0
snp1787,70
snp1788,68
snp1789,5
snp1790,112
snp1791,1
snp1792,1
snp1793,111
snp1794,1
snp1795,9
snp1796,8
snp1797,7
snp1798,1
snp1799,112
snp1800,3
snp1801,1
snp1802,1
snp1803,1
snp1804,1
snp1805,1
snp1806,1
snp1807,0
snp1808,0
snp1809,1
snp1810,0
snp1811,1
snp1812,0
snp1813,0
snp1814,2
snp1815,0
snp1816,4
snp1817,3
snp1818,1
snp1819,0
snp1820,1
snp1821,1
snp1822,8
snp1823,1
snp1824,2
snp1825,1
snp1826,2
snp1827,1
snp1828,2
snp1829,2
snp1830,1
snp1831,1
snp1832,4
snp1833,1
snp1834,1
snp1835,29
snp1836,2
snp1837,0
snp1838,0
snp1839,24
snp1840,12
snp1841,0
snp1842,1
snp1843,35
snp1844,2
snp1845,1
snp1846,1
snp1847,1
snp1848,1
snp1849,1
snp1850,1
snp1851,4
snp1852,1
snp1853,2
snp1854,1
snp1855,3
snp1856,4
snp1857,2
snp1858,2
snp1859,1
snp1860,1
snp1861,1
snp1862,1
snp1863,1
snp1864,2
snp1865,3
snp1866,2
snp1867,1
snp1868,2
snp1869,1
snp1870,1
snp1871,2
snp1872,5
snp1873,1
snp1874,1
snp1875,3
snp1876,13
snp1877,4
snp1878,0
snp1879,2
snp1880,2
snp1881,0
snp1882,2
snp1883,2
snp1884,1
snp1885,4
snp1886,1
snp1887,1
snp1888,0
snp1889,1
snp1890,28
snp1891,1
snp1892,1
snp1893,18
snp1894,0
snp1895,0
snp1896,0
snp1897,0
snp1898,1
snp1899,0
snp1900,13
snp1901,1
snp1902,1
snp1903,1
snp1904,1
snp1905,1
snp1906,1
snp1907,1
snp1908,1
snp1909,78
snp1910,2
snp1911,1
snp1912,1
snp1913,1
snp1914,1
snp1915,1
snp1916,1
snp1917,0
snp1918,1
snp1919,1
snp1920,2
snp1921,1
snp1922,0
snp1923,0
snp1924,1
snp1925,1
snp1926,1
snp1927,1
snp1928,1
snp1929,1
snp1930,2
snp1931,1
snp1932,9
snp1933,1
snp1934,2
snp1935,1
snp1936,1
snp1937,1
snp1938,1
snp1939,0
snp1940,3
snp1941,3
snp1942,0
snp1943,1
snp1944,2
snp1945,2
snp1946,1
snp1947,1
snp1948,1
snp1949,1
snp1950,0
snp1951,0
snp1952,0
snp1953,4
snp1954,1
snp1955,8
snp1956,13
snp1957,1
snp1958,1
snp1959,0
snp1960,98
snp1961,106
snp1962,7
snp1963,8
snp1964,9
snp1965,0
snp1966,1
snp1967,21
snp1968,6
snp1969,0
snp1970,5
snp1971,1
snp1972,4
snp1973,0
snp1974,3
snp1975,0
snp1976,1
snp1977,5
snp1978,2
snp1979,2
snp1980,4
snp1981,1
snp1982,4
snp1983,0
snp1984,1
snp1985,3
snp1986,3
snp1987,1
snp1988,1
snp1989,1
snp1990,1
snp1991,103
snp1992,1
snp1993,1
snp1994,0
snp1995,1
snp1996,23
snp1997,1
snp1998,2
snp1999,71
snp2000,3
snp2001,1
snp2002,78
snp2003,2
snp2004,1
snp2005,1
snp2006,1
snp2007,1
snp2008,0
snp2009,0
snp2010,0
snp2011,1
snp2012,1
snp2013,0
snp2014,1
snp2015,1
snp2016,0
snp2017,1
snp2018,86
snp2019,2
snp2020,1
snp2021,1
snp2022,2
snp2023,1
snp2024,1
snp2025,1
snp2026,1
snp2027,1
snp2028,2
snp2029,0
snp2030,1
snp2031,3
snp2032,2
snp2033,1
snp2034,0
snp2035,0
snp2036,1
snp2037,1
snp2038,1
snp2039,0
snp2040,6
snp2041,1
snp2042,10
snp2043,1
snp2044,2
snp2045,1
snp2046,0
snp2047,1
snp2048,1
snp2049,0
snp2050,6
snp2051,1
snp2052,6
snp2053,5
snp2054,2
snp2055,1
snp2056,2
snp2057,1
snp2058,18
snp2059,0
snp2060,6
snp2061,0
snp2062,2
snp2063,1
snp2064,2
snp2065,1
snp2066,1
snp2067,2
snp2068,1
snp2069,66
snp2070,0
snp2071,1
snp2072,2
snp2073,96
snp2074,2
snp2075,2
snp2076,1
snp2077,1
snp2078,0
snp2079,1
snp2080,3
snp2081,11
snp2082,0
snp2083,0
snp2084,2
snp2085,4
snp2086,111
snp2087,1
snp2088,0
snp2089,96
snp2090,0
snp2091,1
snp2092,1
snp2093,2
snp2094,4
snp2095,4
snp2096,1
snp2097,72
snp2098,34
snp2099,78
snp2100,62
snp2101,0
snp2102,3
snp2103,98
snp2104,1
snp2105,3
snp2106,13
snp2107,1
snp2108,31
snp2109,31
snp2110,4
snp2111,44
snp2112,1
snp2113,1
snp2114,2
snp2115,1
snp2116,0
snp2117,0
snp2118,0
snp2119,1
snp2120,1
snp2121,1
snp2122,0
snp2123,2
snp2124,1
snp2125,2
snp2126,0
snp2127,1
snp2128,1
snp2129,1
snp2130,3
snp2131,1
snp2132,2
snp2133,1
snp2134,2
snp2135,0
snp2136,6
snp2137,3
snp2138,1
snp2139,1
snp2140,16
snp2141,1
